Coding Scheme Designator;Code Value;Code Meaning;Body Part Examined;SNOMED-RT ID (Retired);FMA Code Value;UMLS Concept UniqueID
SCT;818981001;Abdomen;ABDOMEN;;;
SCT;818982008;Abdomen and Pelvis;ABDOMENPELVIS;;;
SCT;7832008;Abdominal aorta;ABDOMINALAORTA;T-42500;;
SCT;85856004;Acromioclavicular joint;ACJOINT;T-15420;;
SCT;23451007;Adrenal gland;ADRENAL;T-B3000;;
SCT;77012006;Amniotic fluid;AMNIOTICFLUID;T-F1320;;
SCT;70258002;Ankle joint;ANKLE;T-15750;;
SCT;128585006;Anomalous pulmonary vein;;T-48503;;
SCT;128553008;Antecubital vein;ANTECUBITALV;T-49215;;
SCT;194996006;Anterior cardiac vein;ANTCARDIACV;T-48403;;
SCT;60176003;Anterior cerebral artery;ACA;T-45540;50028;
SCT;8012006;Anterior communicating artery;ANTCOMMA;T-45530;;
SCT;17388009;Anterior spinal artery;ANTSPINALA;T-45730;;
SCT;68053000;Anterior tibial artery;ANTTIBIALA;T-47700;;
SCT;53505006;Anus;;T-59900;;
SCT;110612005;Anus, rectum and sigmoid colon;ANUSRECTUMSIGMD;T-59490;;
SCT;15825003;Aorta;AORTA;T-42000;;
SCT;57034009;Aortic arch;AORTICARCH;T-42300;;
SCT;128551005;Aortic fistula;;D3-81922;;
SCT;128564006;Apex of left ventricle;;T-32602;;
SCT;86598002;Apex of Lung;;T-280A0;;
SCT;128565007;Apex of right ventricle;;T-32502;;
SCT;66754008;Appendix;APPENDIX;T-59200;;
SCT;51114001;Artery;ARTERY;T-41000;;
SCT;54247002;Ascending aorta;ASCAORTA;T-42100;;
SCT;9040008;Ascending colon;ASCENDINGCOLON;T-59420;;
SCT;59652004;Atrium;;T-32100;;
SCT;91470000;Axilla;AXILLA;T-D8104;;
SCT;67937003;Axillary Artery;AXILLARYA;T-47100;;
SCT;68705008;Axillary vein;AXILLARYV;T-49110;;
SCT;72107004;Azygos vein;AZYGOSVEIN;T-48340;;
SCT;77568009;Back;BACK;T-D2100;;
SCT;128981007;Baffle;;A-00203;;
SCT;59011009;Basilar artery;BASILARA;T-45800;;
SCT;28273000;Bile duct;BILEDUCT;T-60610;;
SCT;89837001;Bladder;BLADDER;T-74000;;
SCT;110837003;Bladder and urethra;BLADDERURETHRA;T-DD123;;
SCT;91830000;Body conduit;;T-D00AB;;
SCT;72001000;Bone of lower limb;;T-12700;;
SCT;371195002;Bone of upper limb;;T-D0821;;
SCT;128548003;Boyd's perforating vein;;T-49424;;
SCT;17137000;Brachial artery;BRACHIALA;T-47160;;
SCT;20115005;Brachial vein;BRACHIALV;T-49350;;
SCT;12738006;Brain;BRAIN;T-A0100;;
SCT;76752008;Breast;BREAST;T-04000;;
