Tag	VR	Name	
(0002,0000)	UL	File Meta Information Group Length	
(0002,0001)	OB	File Meta Information Version	
(0002,0002)	UI	Media Storage SOP Class UID	
(0002,0003)	UI	Media Storage SOP Instance UID	
(0002,0010)	UI	Transfer Syntax UID	
(0002,0012)	UI	Implementation Class UID	
(0002,0013)	SH	Implementation Version Name	
(0002,0016)	AE	Source Application Entity Title	
(0002,0017)	AE	Sending Application Entity Title	
(0002,0018)	AE	Receiving Application Entity Title	
(0002,0100)	UI	Private Information Creator UID	
(0002,0102)	OB	Private Information	
(0004,1130)	CS	File-set ID	
(0004,1141)	CS	File-set Descriptor File ID	
(0004,1142)	CS	Specific Character Set of File-set Descriptor File	
(0004,1200)	UL	Offset of the First Directory Record of the Root Directory Entity	
(0004,1202)	UL	Offset of the Last Directory Record of the Root Directory Entity	
(0004,1212)	US	File-set Consistency Flag	
(0004,1220)	SQ	Directory Record Sequence	
(0004,1400)	UL	Offset of the Next Directory Record	
(0004,1410)	US	Record In-use Flag	
(0004,1420)	UL	Offset of Referenced Lower-Level Directory Entity	
(0004,1430)	CS	Directory Record Type	
(0004,1432)	UI	Private Record UID	
(0004,1500)	CS	Referenced File ID	
(0004,1504)	UL	MRDR Directory Record Offset	Retired
(0004,1510)	UI	Referenced SOP Class UID in File	
(0004,1511)	UI	Referenced SOP Instance UID in File	
(0004,1512)	UI	Referenced Transfer Syntax UID in File	
(0004,151A)	UI	Referenced Related General SOP Class UID in File	
(0004,1600)	UL	Number of References	Retired
(0008,0001)	UL	Length to End	Retired
(0008,0005)	CS	Specific Character Set	
(0008,0006)	SQ	Language Code Sequence	
(0008,0008)	CS	Image Type	
(0008,0010)	SH	Recognition Code	Retired
(0008,0012)	DA	Instance Creation Date	
(0008,0013)	TM	Instance Creation Time	
(0008,0014)	UI	Instance Creator UID	
(0008,0015)	DT	Instance Coercion DateTime	
(0008,0016)	UI	SOP Class UID	
(0008,0018)	UI	SOP Instance UID	
(0008,001A)	UI	Related General SOP Class UID	
(0008,001B)	UI	Original Specialized SOP Class UID	
(0008,0020)	DA	Study Date	
(0008,0021)	DA	Series Date	
(0008,0022)	DA	Acquisition Date	
(0008,0023)	DA	Content Date	
(0008,0024)	DA	Overlay Date	Retired
(0008,0025)	DA	Curve Date	Retired
(0008,002A)	DT	Acquisition DateTime	
(0008,0030)	TM	Study Time	
(0008,0031)	TM	Series Time	
(0008,0032)	TM	Acquisition Time	
(0008,0033)	TM	Content Time	
